longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
7.67712,11.59525,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,368.806,0.011044,276.683,3.65206,,0.190825,0.401301,92.5841,71.1271,52.0826,0.210752,5.81021,4.34038,50.3874,34.6206,4.04488,0.883053,59.0,24.0,18.0
7.58037,11.07477,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,504.764,0.011175,763.574,3.37203,,0.420037,0.717616,152.135,124.634,23.9172,0.288286,6.19139,2.31451,63.0674,84.8923,5.2325,1.01101,53.0,23.0,18.0
7.66233,11.58857,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,472.004,0.011276,429.263,4.08864,,0.3721,0.344386,133.615,126.108,62.2192,0.232079,5.75296,8.56315,93.9147,24.2331,4.18447,1.43289,60.0,22.0,20.0
10.42355,10.69477,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,262.334,0.011519,241.891,3.87752,,0.117003,0.434785,69.1198,70.0453,40.0535,0.218782,6.13508,5.20099,26.3386,19.3846,4.37437,1.28918,67.0,20.0,19.0
9.11494,8.39599,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,293.639,0.011742,79.4905,4.06383,,0.10031,0.728174,112.593,24.7994,24.807,0.316856,5.9374,10.8605,63.962,23.2347,5.42425,0.599202,61.0,19.0,18.0
8.16317,8.0767,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,656.906,0.012035,411.78,9.20381,,1.14052,0.493219,164.908,80.8588,42.1959,0.596908,5.73452,8.37818,61.8728,41.5126,10.3383,1.06077,59.0,18.0,14.0
7.93732,11.46292,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,996.246,0.012741,1095.86,8.51096,,1.71959,0.630107,188.709,183.634,140.6,0.762196,5.8243,4.30709,129.933,33.4097,5.1304,1.8387,60.0,22.0,16.0
7.69309,11.59767,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,475.465,0.013203,1363.22,3.20154,,1.35501,0.430257,105.406,143.695,76.8104,0.254387,6.13367,3.45252,73.2742,43.3441,6.91513,0.981778,64.0,21.0,16.0
7.67368,11.58825,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,469.693,0.013211,389.199,4.64797,,0.766036,0.55891,91.9335,69.3973,63.1797,0.24466,5.68289,8.0934,73.1948,28.1343,4.41676,1.24638,59.0,23.0,19.0
6.35929,9.68984,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,550.129,0.013528,94.7246,4.97766,,0.84742,0.729148,198.446,53.2142,32.7389,0.464392,6.17912,4.76366,10.7613,34.8195,7.30298,0.571498,64.0,15.0,16.0
