longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
9.17841,9.55968,0.054538,7.80555,1.03275,5.2157,2.99794,93.703,7.06674,1.36558,63.0,13.0,24.0,isda,isda,isda,isda
8.30117,9.95276,0.054715,10.1737,0.937271,5.45857,2.14437,146.987,11.3358,1.05106,55.0,20.0,21.0,isda,isda,isda,isda
8.30529,10.0103,0.055851,15.1432,1.82649,6.24755,3.92289,74.973,12.5419,2.16867,57.0,16.0,21.0,isda,isda,isda,isda
9.06275,8.52342,0.056692,13.8495,1.37473,5.86846,4.23684,202.003,8.29004,1.01032,60.0,20.0,16.0,isda,isda,isda,isda
8.59237,10.79551,0.058336,9.56653,0.751144,5.51929,3.75849,65.225,8.72282,1.21317,54.0,23.0,24.0,isda,isda,isda,isda
8.25168,11.10012,0.059594,4.66672,0.412344,6.0359,6.08002,63.5178,6.76211,1.12565,53.0,28.0,22.0,isda,isda,isda,isda
11.64427,9.01279,0.060673,6.08154,0.351115,6.284,11.3789,97.6987,11.0157,1.49921,64.0,16.0,17.0,isda,isda,isda,isda
8.23684,10.00101,0.062165,7.62256,0.711166,5.24241,1.42895,103.104,22.0409,0.972402,53.0,19.0,23.0,isda,isda,isda,isda
4.81228,9.16495,0.063804,4.60502,0.536957,6.19146,8.00957,86.5611,5.93612,1.33951,63.0,18.0,14.0,isda,isda,isda,isda
9.85197,9.02084,0.063845,7.28524,0.490885,6.2959,4.87802,70.1871,5.98375,1.42685,61.0,20.0,20.0,isda,isda,isda,isda
7.66341,9.97187,0.064394,6.6776,0.870605,5.20852,3.65991,95.4466,11.2418,0.942078,56.0,20.0,24.0,isda,isda,isda,isda
8.22958,9.93517,0.065383,9.91599,0.841655,5.73617,1.70771,81.7622,7.1742,0.872109,49.0,21.0,25.0,isda,isda,isda,isda
9.99535,9.96902,0.065457,8.10094,0.620858,6.05806,15.7292,158.49,7.33407,1.82074,58.0,16.0,20.0,isda,isda,isda,isda
9.76069,10.1591,0.065612,10.8288,1.18294,6.26029,11.7469,217.384,7.08609,1.8061,57.0,19.0,24.0,isda,isda,isda,isda
5.98379,10.23994,0.066369,10.6534,0.448415,6.41138,6.05971,96.9587,7.68559,1.9577,67.0,19.0,15.0,isda,isda,isda,isda
6.3285,9.68543,0.066426,12.5202,1.05037,6.32446,2.30592,75.5641,6.30337,1.35526,66.0,15.0,15.0,isda,isda,isda,isda
9.22463,9.5693,0.069439,10.9463,0.53251,5.93086,3.29862,122.997,13.0489,1.45164,59.0,17.0,22.0,isda,isda,isda,isda
7.97265,11.52261,0.073013,6.82021,0.372931,5.71495,3.90542,73.1948,5.38566,1.28419,60.0,22.0,20.0,isda,isda,isda,isda
9.01791,9.61208,0.076556,7.10792,0.653073,5.32459,6.22036,201.061,9.959,1.18764,58.0,20.0,25.0,isda,isda,isda,isda
10.03705,9.91293,0.076917,9.45271,0.792393,6.507,11.3729,133.418,8.91184,1.51889,65.0,17.0,18.0,isda,isda,isda,isda
8.60204,10.78559,0.080779,6.50883,0.620291,5.8475,5.71224,17.4378,6.19588,1.15484,49.0,24.0,20.0,isda,isda,isda,isda
9.00759,9.90388,0.084738,7.94767,0.701208,5.61684,8.86888,64.1663,15.027,0.89837,54.0,21.0,28.0,isda,isda,isda,isda
7.67106,9.9289,0.086198,11.0174,1.03528,5.52417,1.75687,96.5834,6.59676,1.35597,56.0,18.0,24.0,isda,isda,isda,isda
