longitude,latitude,Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,County,Country,State
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.1,1.7,0.1,0.29,47.1,15.7,0.31,1.14,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.2,1.5,0.1,0.12,42.0,1.2,0.32,0.38,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,4.6,1.42,0.11,0.13,34.2,1.9,0.3,0.74,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,4.9,1.02,0.05,0.17,41.8,8.9,0.2,0.4,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,5.1,1.07,0.06,0.17,67.4,12.3,0.23,0.56,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Pirgacha,high ground,loam,5.0,0.98,0.06,0.12,12.9,6.3,0.31,0.62,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.1,1.21,0.06,0.08,6.6,5.0,0.41,0.39,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,4.6,1.61,0.1,0.44,52.8,28.3,0.46,0.62,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.2,1.47,0.08,0.33,33.4,13.0,0.2,0.72,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.4,1.77,0.09,0.13,51.8,11.5,0.3,0.54,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.3,1.51,0.06,0.13,48.6,10.5,0.49,0.69,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.2,1.68,0.08,0.14,65.0,6.4,0.36,0.83,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.2,1.35,0.07,0.29,16.8,5.0,0.3,0.61,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.3,1.66,0.07,0.5,13.6,9.4,0.36,0.27,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Palashbari,high ground,loam,5.9,1.53,0.08,0.32,28.2,5.0,0.32,0.66,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.3,1.28,0.06,0.25,39.5,6.5,0.53,0.4,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.7,1.121,0.06,0.08,11.8,4.4,0.25,0.48,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.2,1.29,0.06,0.04,15.3,6.9,0.23,0.43,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.2,1.59,0.09,0.11,15.5,8.4,0.26,0.42,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,4.7,2.08,0.11,0.11,41.5,31.7,0.24,0.55,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.0,1.28,0.07,0.3,25.3,9.5,0.21,0.72,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Berries,high ground,loam,5.8,1.25,0.06,0.13,16.0,7.7,0.21,1.01,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,4.8,1.24,0.07,0.1,22.8,8.0,0.3,0.57,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,2.21,0.13,0.09,47.1,38.2,0.48,1.23,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.4,2.16,0.11,0.34,14.7,25.6,0.32,0.69,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.3,2.28,0.1,0.09,8.6,14.9,0.24,0.41,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,2.53,0.12,0.1,22.5,14.9,0.32,0.37,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.2,1.848,0.1,0.15,20.8,10.5,0.28,0.63,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,4.9,1.7,0.09,0.11,29.0,11.3,0.28,0.42,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.1,1.79,0.09,0.08,10.7,9.4,0.28,0.21,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,1.38,0.1,0.15,7.1,2.1,0.24,0.2,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.3,1.68,0.1,0.1,41.1,1.1,0.21,0.2,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.5,1.35,0.09,0.14,14.8,1.8,0.24,0.2,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.2,1.58,0.09,0.19,11.1,1.5,0.28,0.08,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,2.18,0.12,0.11,25.0,7.2,0.63,0.23,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.2,2.01,0.12,0.14,12.8,1.4,0.32,0.23,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,1.54,0.07,0.07,31.5,5.7,0.4,0.11,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.1,1.32,0.08,0.18,14.3,2.9,0.24,0.43,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.0,2.21,0.13,0.11,13.1,7.6,0.46,0.32,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,4.8,2.94,0.09,0.31,22.2,2.5,0.34,0.24,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,4.6,1.35,0.08,0.26,15.3,6.8,0.5,0.36,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.2,1.6,0.09,0.12,4.8,12.2,0.34,0.24,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,6.0,1.86,0.11,0.09,4.8,12.6,0.34,0.3,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.3,1.77,0.11,0.05,3.2,12.2,0.24,0.57,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,high ground,loam,5.5,1.85,0.11,0.07,8.5,9.6,0.16,0.31,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.2,1.68,0.1,0.06,6.2,17.3,0.23,0.56,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,4.9,1.88,0.11,0.05,15.3,15.2,0.46,0.52,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.1,1.45,0.08,0.07,24.0,13.5,0.32,0.58,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.4,1.27,0.07,0.13,9.0,7.5,0.24,0.39,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.2,1.61,0.09,0.15,43.3,16.9,0.52,0.87,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,,Gangachara,Medium high land,loam,5.0,1.39,0.08,0.31,17.6,16.9,0.32,0.52,40.0,40.0,20.0,,,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.7,0.96,0.05,0.15,6.3,13.5,0.38,0.68,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.9,0.93,0.06,0.1,7.7,10.0,0.22,0.28,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.5,1.66,0.1,0.1,2.9,20.8,0.24,0.43,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.0,1.94,0.12,0.04,6.1,17.8,0.53,0.64,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.0,3.09,0.16,0.08,42.0,28.1,0.38,0.83,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.4,1.68,0.1,0.25,7.1,11.8,0.4,1.24,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.1,2.58,0.13,0.09,11.9,21.9,0.34,0.56,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Gangachara,Medium high land,loam,5.2,2.28,0.13,0.23,18.3,15.0,0.51,0.76,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
