Area,Average_Elevation,Average_Temperature,Boron,Clay,Land class,Mean_Precipitation,Nitrogen,Phosphorus,Potassium,SOC,Sand,Silt,Soil group,Soil type,Sulfur,Zinc,latitude,longitude,pH
Bauchi,581,25.21032104,0.0305824,21,isda,28.24034356,0.0355257,6.23109,0.297825641,0.456325,58,19,isda,isda,4.25048,1.11068,10.17644,9.70175,6.13621
Bauchi,510,26.23922119,0.0324128,21,isda,16.78643748,0.0426409,6.74518,0.104740256,0.389291,60,19,isda,isda,5.67144,0.972564,11.24343,9.16839,5.97098
Bauchi,574,25.21032104,0.0381398,21,isda,28.24034356,0.0530616,9.615,0.232821538,0.650194,62,19,isda,isda,6.30009,1.56089,10.17486,9.70551,5.83952
Bauchi,526,26.23922119,0.0434669,21,isda,16.78643748,0.0433194,7.03163,0.027710769,0.589768,58,19,isda,isda,7.8118,1.08361,11.24249,9.14353,5.85554
Bauchi,595,25.21032104,0.0609294,21,isda,28.24034356,0.0683601,5.64299,0.376641026,0.597985,59,19,isda,isda,5.3601,1.50899,10.18518,9.70182,6.20158
Bauchi,581,25.21032104,0.015852,22,isda,28.24034356,0.095871,13.9557,0.195580513,1.35368,60,19,isda,isda,8.72371,1.80577,10.17564,9.71533,5.71478
Bauchi,558,26.79213867,0.036063,22,isda,20.10066994,0.0772522,7.59971,0.3235,0.846262,64,19,isda,isda,12.3597,1.40071,9.9137,10.00909,5.57537
Bauchi,548,25.99489746,0.205003,22,isda,23.19471352,0.0507386,13.4125,0.471271795,0.604207,61,19,isda,isda,7.50663,1.51649,9.95184,9.98839,6.82837
Bauchi,750,24.88936768,0.354734,22,isda,26.83751844,0.0771254,11.5663,0.448989744,0.842975,57,19,isda,isda,13.4956,1.55445,10.24517,9.25071,6.66302
Bauchi,579,25.21032104,0.370056,22,isda,28.24034356,0.0562079,6.66931,0.377689744,0.668697,59,19,isda,isda,4.37775,1.04254,10.17903,9.71662,6.23972
Bauchi,531,26.23922119,0.0272154,22,isda,16.78643748,0.0384178,4.0353,0.09025359,0.487932,59,19,isda,isda,6.52213,0.804594,11.21667,9.12482,6.28924
Bauchi,587,25.21032104,0.0397003,22,isda,28.24034356,0.0370987,5.54047,0.246045128,0.55962,60,19,isda,isda,5.74318,1.08654,10.18249,9.69981,5.77343
Bauchi,572,25.21032104,0.0507531,22,isda,28.24034356,0.0582397,10.6426,0.333576923,0.569988,60,19,isda,isda,7.29189,1.0539,10.16605,9.7004,5.79473
Bauchi,567,25.21032104,0.0539224,22,isda,28.24034356,0.11876,9.80984,0.557394872,1.9045,60,19,isda,isda,7.23585,1.66252,10.16686,9.7012,6.09418
Bauchi,667,25.92846069,0.0387887,23,isda,25.57283081,0.0781082,14.6789,0.327779487,0.778677,55,19,isda,isda,9.44722,1.28733,10.15709,9.76489,6.04973
Bauchi,344,27.86037598,0.00557761,23,isda,11.32951677,0.019677,4.3247,0.104826154,0.317229,66,19,isda,isda,3.46078,0.899477,10.6215,10.44599,6.46979
Bauchi,642,25.92846069,0.065612,24,isda,25.57283081,0.118294,11.7469,0.557394872,1.08288,57,19,isda,isda,7.08609,1.8061,10.1591,9.76069,6.26029
Bauchi,616,25.92846069,0.110546,24,isda,25.57283081,0.0713419,10.9715,0.411702564,1.00581,54,19,isda,isda,5.54354,1.91044,10.16074,9.76321,6.11161
Bauchi,342,27.86037598,0.0180389,25,isda,11.32951677,0.0311336,2.27937,0.191715385,0.365799,65,19,isda,isda,5.79392,1.07676,10.63585,10.45083,6.07656
Bauchi,518,26.23922119,0.0765522,18,isda,16.78643748,0.0464272,3.34208,0.025332513,0.369073,65,20,isda,isda,7.12939,1.10777,11.2363,9.11731,5.93648
Bauchi,435,27.86037598,0.00591045,18,isda,11.32951677,0.0272072,4.99731,0.076175128,0.372533,67,20,isda,isda,3.19651,1.02007,10.69583,10.42634,5.73424
Bauchi,433,27.86037598,0.011519,19,isda,11.32951677,0.0218782,5.20099,0.067534872,0.387752,67,20,isda,isda,4.37437,1.28918,10.69477,10.42355,6.13508
Bauchi,502,27.07485352,0.0193383,19,isda,12.77913339,0.0239178,6.76861,0.049640769,0.271328,60,20,isda,isda,3.27963,0.627133,11.26466,9.1689,6.10469
Bauchi,500,27.07485352,0.0353638,19,isda,12.77913339,0.0316577,4.12188,0.025332513,0.383688,59,20,isda,isda,6.71481,0.526245,11.26967,9.11904,5.64919
Bauchi,502,27.07485352,0.0527989,19,isda,12.77913339,0.050577,7.67127,0.128142821,0.429156,62,20,isda,isda,4.8613,1.0382,11.27891,9.1402,5.81013
Bauchi,500,27.07485352,0.0702003,19,isda,12.77913339,0.0704299,6.81658,0.241094103,0.877942,58,20,isda,isda,6.35812,1.81503,11.2729,9.09911,5.89325
